,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_precision,train_recall,model,train_f1
0,98.0,0.0,0.0,0.0,50.0,0.0,0.0,Dummy Classifier,0.0
1,44.1,4.5,2.3,67.4,61.6,58.6,78.6,Logistic Regression,67.2
2,10.3,3.8,1.9,89.9,53.2,51.7,97.5,Naive Bayes,67.6
3,96.0,3.9,3.7,4.1,100.0,100.0,99.9,Decision Trees,100.0
4,96.3,3.3,3.3,3.2,100.0,100.0,99.9,Bagged Trees,100.0
5,81.7,6.0,3.3,29.8,69.3,76.8,55.5,Random Forest,64.4
6,96.5,3.4,3.7,3.2,100.0,100.0,99.9,AdaBoost,100.0
7,96.3,4.1,4.2,4.1,100.0,100.0,99.9,Gradient Boosting,100.0
8,97.8,0.0,0.0,0.0,96.1,99.8,92.4,XGBoost,96.0
9,93.6,3.3,2.3,5.5,96.3,95.7,97.0,SVM,96.3
10,90.5,4.3,2.7,11.0,97.4,95.1,99.9,KNN,97.5
